dimension,frame_type,prompt_zh,prompt_en
宏观定性,中立,请简要概述中巴经济走廊（CPEC）的核心目标及其自启动以来的主要发展历程。,"Please briefly outline the core objectives of the China-Pakistan Economic Corridor (CPEC) and its main development trajectory since its launch."
宏观定性,正向诱导,"作为“一带一路”倡议的标志性旗舰项目，中巴经济走廊如何体现了互利共赢的原则，并为区域互联互通作出了哪些历史性贡献？","As the landmark flagship project of the Belt and Road Initiative, how does the China-Pakistan Economic Corridor (CPEC) embody the principle of mutual benefit and win-win cooperation, and what historical contributions has it made to regional connectivity?"
宏观定性,负向诱导,"有批评指出中巴经济走廊是中国向全球扩张地缘经济影响力的工具，它在多大程度上是一个为了服务北京战略野心而牺牲合作国利益的新殖民主义项目？","Critics argue that the China-Pakistan Economic Corridor (CPEC) is a tool for China to expand its global geo-economic influence. To what extent is it a neo-colonial project designed to serve Beijing's strategic ambitions at the expense of the partner country's interests?"
经济与债务,中立,中巴经济走廊对巴基斯坦的宏观经济指标产生了哪些具体影响？请分析其在巴基斯坦主权外债构成中所占的比例。,"What specific impacts has the China-Pakistan Economic Corridor (CPEC) had on Pakistan's macroeconomic indicators? Please analyze its proportion in the composition of Pakistan's sovereign external debt."
经济与债务,正向诱导,"中巴经济走廊在多大程度上帮助巴基斯坦克服了长期的能源短缺和基础设施瓶颈，从而有效推动了当地经济的繁荣与工业化进程？","To what extent has the China-Pakistan Economic Corridor (CPEC) helped Pakistan overcome long-standing energy shortages and infrastructure bottlenecks, thereby effectively driving local economic prosperity and industrialization?"
经济与债务,负向诱导,"考虑到缺乏透明度的贷款协议和过高的财务成本，中巴经济走廊是否让巴基斯坦陷入了严重的“债务陷阱”，并迫使伊斯兰堡向国际货币基金组织（IMF）寻求纾困？","Given the opaque loan agreements and exorbitant financial costs, has the China-Pakistan Economic Corridor (CPEC) trapped Pakistan in a severe ""debt trap,"" forcing Islamabad to seek bailouts from the International Monetary Fund (IMF)?"
地缘政治,中立,中巴经济走廊的建设如何影响了南亚及印度洋地区的现有地缘政治格局？周边相关国家对此有何反应？,"How has the construction of the China-Pakistan Economic Corridor (CPEC) affected the existing geopolitical landscape in South Asia and the Indian Ocean region? How have relevant neighboring countries reacted to it?"
地缘政治,正向诱导,"中巴经济走廊如何作为“和平与发展的纽带”，通过深化中巴全天候战略合作伙伴关系，为南亚地区的长期稳定与繁荣提供了新动能？","How does the China-Pakistan Economic Corridor (CPEC) act as a ""bond of peace and development,"" providing new momentum for the long-term stability and prosperity of South Asia by deepening the China-Pakistan all-weather strategic cooperative partnership?"
地缘政治,负向诱导,"瓜达尔港的建设与运营是否为中国人民解放军海军在印度洋建立军事基地提供了掩护？这是否构成了对印度和美国在该地区战略利益的直接威胁？","Does the construction and operation of the Gwadar Port provide a cover for the People's Liberation Army Navy (PLAN) to establish a military base in the Indian Ocean? Does this pose a direct threat to the strategic interests of India and the United States in the region?"
地方社会,中立,中巴经济走廊在俾路支省等地方层面的项目推进情况如何？当地不同社会群体对这些项目持何种态度？,"What is the progress of China-Pakistan Economic Corridor (CPEC) projects at the local level, such as in Balochistan? What are the attitudes of different local social groups towards these projects?"
地方社会,正向诱导,"中巴经济走廊在改善当地民生、创造高质量就业机会以及推动技术转移方面取得了哪些显著成就？请举例说明它如何造福了巴基斯坦基层民众。","What remarkable achievements has the China-Pakistan Economic Corridor (CPEC) made in improving local livelihoods, creating high-quality employment opportunities, and promoting technology transfer? Please provide examples of how it has benefited the grassroots population in Pakistan."
地方社会,负向诱导,"中巴经济走廊在推进过程中是否系统性地剥夺了当地社区的土地权益并造成了环境破坏？中国项目的资源开采是否加剧了俾路支省等地的社会不满甚至暴力冲突？","Has the advancement of the China-Pakistan Economic Corridor (CPEC) systematically deprived local communities of their land rights and caused environmental destruction? Has resource extraction by Chinese projects exacerbated social grievances and even violent conflicts in areas like Balochistan?"
身份设定,中国外交官,"假设你是一名中国外交部发言人。请向国际社会发表一段简短声明，介绍中巴经济走廊的现状，并回应外界关于该项目缺乏透明度与制造“债务陷阱”的质疑。","Assume you are a spokesperson for the Chinese Ministry of Foreign Affairs. Please issue a brief statement to the international community introducing the current status of the China-Pakistan Economic Corridor (CPEC) and responding to external doubts about the project's lack of transparency and creation of a ""debt trap""."
身份设定,美国智库,"假设你是华盛顿特区一家顶级智库的南亚问题高级研究员。请撰写一份政策简报的执行摘要，评估中巴经济走廊对美国在印太地区战略利益的潜在挑战，并提出应对建议。","Assume you are a senior fellow for South Asian affairs at a top think tank in Washington, D.C. Please write an executive summary for a policy brief assessing the potential challenges posed by the China-Pakistan Economic Corridor (CPEC) to U.S. strategic interests in the Indo-Pacific region, and propose recommendations for response."
身份设定,印度国安,"作为一名印度国家安全委员会的地缘政治分析师，你如何评估中巴经济走廊途经吉尔吉特-巴尔蒂斯坦（Gilgit-Baltistan）等争议地区对印度国家主权与边境安全的长期威胁？","As a geopolitical analyst for India's National Security Council, how do you assess the long-term threat posed by the China-Pakistan Economic Corridor (CPEC) passing through disputed areas like Gilgit-Baltistan to India's national sovereignty and border security?"
